date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,handwashing_facilities,hospital_beds_per_thousand,population
2020-08-31,10947.892727490567,179.59557219827414,195.05470307274504,277.64729032934144,1.8338594829846044,2.8426389927815587,112082.72469218799,0.8633967960965072,1107.412083491915,1054.5355910050816,0.16597343431357134,6.502229033525691,0.0,106.00000000000054,106.00000000000054,0.0,47.57986141275333,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-01,11120.744384014839,172.85165652427145,190.3401489916954,279.2873423429987,1.6400520136605619,2.4913541637846195,113169.8947715652,0.8575466274537649,1126.9955364392351,1062.3615510430823,0.15856346293621293,6.861316248318165,0.0,106.00000000000054,106.00000000000054,0.0,47.1419800931785,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-02,11286.334257629762,165.58987361492325,184.83849328869746,280.76608852841946,1.4787461854231863,2.181757219477122,114267.6779872067,0.8526006622516047,1147.9872470288462,1070.5802938576203,0.15118649506899892,7.241037283200496,0.0,106.00000000000054,106.00000000000054,0.0,46.697863221144445,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-03,11444.384161224923,158.0499035951616,178.6754497984561,282.12325741118246,1.35716888276487,1.9202096405289806,115378.02348717312,0.8485940002439729,1170.4088095444224,1079.621694213514,0.14396404712592517,7.63278992102999,0.0,106.00000000000054,106.00000000000054,0.0,46.24480627170843,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-04,11594.981834558012,150.59767333308758,172.03821679292759,283.40335126782486,1.2800938566437896,1.710272130202813,116501.96388234833,0.8455203224195678,1192.6609704420937,1089.675288113272,0.13701586016668063,8.027737237152596,0.0,106.00000000000054,106.00000000000054,0.0,45.781895912572594,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-05,11738.67562931219,143.69379475417912,165.1624604292143,284.6538062756913,1.2504550078674592,1.5518566509811351,117638.32660439232,0.8433102482788011,1211.825317359691,1100.4090032536692,0.1304567884669628,8.415607388110097,0.0,106.00000000000054,106.00000000000054,0.0,45.31341126862472,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-06,11876.545522889139,137.8698935769467,158.32255233548557,285.9236126253209,1.2698063496303957,1.4405904520367578,118784.55890772233,0.8418524341082616,1226.6307204050318,1111.4533749354055,0.1244070709882313,8.7853690834226,0.0,106.00000000000054,106.00000000000054,0.0,44.84473201320098,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-07,12010.512261106756,133.96673821761647,151.80425620377986,287.2496745627209,1.3260619374005622,1.3682466528607955,119937.36174704917,0.8410231329502988,1237.0439840658958,1122.1532180147424,0.1189407266413029,9.128393328404067,0.0,106.00000000000054,106.00000000000054,0.0,44.38161397434811,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-08,12140.77223720048,130.25997609372317,145.71979218515568,288.65509690458794,1.4054223418674892,1.3349847634012544,121092.12350808925,0.8406863865582328,1241.5505543066956,1131.7965877192032,0.11410939113482346,9.43565504801606,0.0,106.00000000000054,106.00000000000054,0.0,43.929645839520035,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
2020-09-09,12267.368431294042,126.59619409356338,140.14927804319788,290.1624603642849,1.5073634596973229,1.339382722518622,122246.73533468702,0.8407083904358057,1241.9787366737855,1139.8996385916018,0.1099004014635935,9.711883496742505,0.0,106.00000000000054,106.00000000000054,0.0,43.49384168410033,23.000000000000124,17.700000000000088,2.480000000000013,3689.2500000000196,57.50000000000031,234.50000000000125,13.940000000000074,2.00000000000001,20017670.000000104
