date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,diabetes_prevalence,hospital_beds_per_thousand,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2021-08-25,2674.997495661325,26.358796425760456,16.48113335468774,25.993719699418367,4.906472318730257e-24,1.2316642933156421e-23,521.2644019312904,1.8825396871044862,54.99227759275985,26454.16542486848,19865.636788239026,35.231830885930805,0.010000000000000054,58703.64121331313,50947.31569369836,0.6834892940365287,83.58020857099235,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48361974949713654
2021-08-26,2705.182090718202,30.184595056876958,19.644601793649976,25.992380918713778,0.0006140917905623792,9.237482199867316e-24,527.1465992829869,1.8653745455481472,56.18111204072382,27635.520448741903,21748.03539660917,36.07215871713077,0.010000000000000054,61645.54543810389,53423.58959832815,0.7196646434427176,86.8258306363892,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.47483890791501604
2021-08-27,2739.120278445895,33.93818772769333,23.037014370447615,25.993962482829808,0.0030462184873949706,6.928111649900487e-24,533.7602364693515,1.8376858865366783,57.42606528458303,28404.798637569183,23448.45628242783,36.95398506887592,0.010000000000000054,64554.66273080814,56057.8782039175,0.758068456725543,89.46369165861071,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4689789362229927
2021-08-28,2776.5055611291896,37.38528268329431,26.535145231617275,26.000109871172167,0.007245879120879156,0.0006493212669683272,541.0455655226673,1.8001189721100095,58.72446137455565,28724.971570290698,24897.943714729772,37.87503679777852,0.010000000000000054,67325.2820998192,58794.99627414055,0.7978034433844947,91.47819602256192,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4659336511776185
2021-08-29,2816.763446864996,40.25788573580628,29.997417747242423,26.012299597949294,0.013013594861021398,0.002197398190045257,548.8906164496935,1.7537619827993807,60.071408248111396,28589.654437252648,26036.045181005353,38.83159337079678,0.010000000000000054,69843.07720188455,61561.69224439025,0.8377620848008158,92.8909049354736,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4654051588129249
2021-08-30,2859.4131475275485,42.64970066255291,33.34908431883524,26.031719850368923,0.02003815348254697,0.004973840497737579,557.201676138176,1.7000146028073593,61.45984545563761,28019.967070128707,26816.027583233048,39.818318169661964,0.010000000000000054,71994.06759759969,64268.44450649899,0.8766467090434058,93.7656880745853,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4668864636859864
2021-08-31,2904.298192901645,44.8850453740964,36.52548760887439,26.059180967285457,0.027924542713720253,0.009067484445701404,565.9482436905753,1.6405198402761743,62.880610336072195,27048.7888255442,27208.390306041503,40.828259797253,0.010000000000000054,73670.46760188442,66819.50763650009,0.9130627628749928,94.21258732290744,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4696760368555115
2021-09-01,2950.9934572166385,46.695264314993835,39.43066855087048,26.095048298185525,0.03621490024795996,0.014386586184954829,575.0474749463422,1.5771306688302742,64.32308170163407,25732.276719352103,27203.33371207803,41.85329795071938,0.010000000000000054,74795.40527478122,69118.32990319934,0.9456115517942552,94.39071457104302,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.47288874186578556
2021-09-02,2998.8986643410544,47.9052071244161,41.962137482965474,26.139191847427156,0.04440422625255055,0.020703966788037445,584.3824024282449,1.5117111237946532,65.77549130208214,24160.883115898505,26814.20165768493,42.88449172419021,0.010000000000000054,75310.59833229805,71070.47950561551,0.9729536541495067,94.32726023338905,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.47617046565535
2021-09-03,3047.308516678549,48.409852337494435,44.029452498132386,26.190948507419144,0.05195216775017578,0.02769087101862996,593.8156003021154,1.4460208994070776,67.22814643389849,22450.2429391648,26078.520441712342,43.914368308333415,0.010000000000000054,75324.1358048151,72608.97454517812,0.9941552858610003,94.04632106385898,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4792419410320755
2021-09-04,3095.4652918398792,48.15677516133033,45.56815320682496,26.249093733505575,0.058291856905068926,0.03494236140876893,603.1994330966586,1.381478021032362,68.67321147377562,20713.37001949967,25054.895922751643,44.9368038653807,0.010000000000000054,74931.07536686287,73695.51411832131,1.008666722960716,93.57214286641408,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48190419871738854
2021-09-05,3142.5982901468824,47.13299830700298,46.55021105896495,26.31182030012922,0.06283653973762532,0.04199636381675778,612.3837422433094,1.3192937129300586,70.1040758645432,19044.14358874673,23816.049576194335,45.946598858958026,0.010000000000000054,74195.01245598114,74317.21724678893,1.0162771915418054,92.93155252796194,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4840445032720434
2021-09-06,3188.1311513528944,45.53286120601182,46.96198053081072,26.377982872155773,0.06624505186204263,0.0485244221838354,621.2562370315457,1.2604942019567569,71.51540192103195,17499.575284751187,22438.916803994514,46.93928188500721,0.010000000000000054,73182.34815905124,74486.96999714739,1.0171046292736794,92.15578204303041,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48564265193305556
2021-09-07,3231.6898147105385,43.55866335764402,46.77237680082304,26.44693253226813,0.06901151998896905,0.05432091844783141,629.7440350781204,1.2058677426117193,72.903018312138,16127.485419607361,21002.980282375356,47.91113788434372,0.010000000000000054,71952.80232807974,74241.58913328404,1.0116188727309559,91.28183653227293,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48677754563400455
2021-09-08,3272.9428296819065,41.25301497136816,45.99477823733356,26.517293775413155,0.07040763805248967,0.05914114132456144,637.7825594372273,1.1559955063770198,74.26422979745203,14953.946350850765,19584.065997172616,48.859458616877774,0.010000000000000054,70584.10227935013,73639.97525332448,1.0005898817621808,90.33425975214601,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.487551546580446
2021-09-09,3311.6631015762378,38.72027189433095,44.68249107942234,26.587307758838506,0.07004877960594783,0.06275630848210897,645.3275685759821,1.11122998466318,75.59751591628564,13978.317563181183,18245.8614726694,49.78232747914193,0.010000000000000054,69136.98952463875,72758.03358931473,0.9850380803584824,89.32824943595837,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4880722233607053
2021-09-10,3347.7742007781753,36.11109920193765,42.92534794757586,26.65508973962019,0.06780807791713064,0.06499483317153659,652.3641788560341,1.0717245246964813,76.90192345951557,13198.02405366149,17035.915529195023,50.678433553765046,0.010000000000000054,67640.06016222511,71660.31342728026,0.9658501504433945,88.28878500844918,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48843511990148203
2021-09-11,3381.385094668963,33.610893890787466,40.84715672668065,26.71882215280826,0.06375198603965801,0.06577327419991952,658.9136313947738,1.037481337930895,78.17674786289794,12608.78940417632,15984.135467193635,51.54668392421203,0.010000000000000054,66105.60533498501,70399.5377530718,0.9437416852307372,87.24571286751994,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48870729230706456
2021-09-12,3412.816196567338,31.431101898375054,38.60378722826845,26.7768994200361,0.05809194686652443,0.06511954841012073,665.0383672112397,1.0083808806298142,79.42146749058017,12200.794116265199,15104.883080679665,52.38588786235755,0.010000000000000054,64543.18957008176,69020.71218681427,0.9192959213244762,86.23006034553342,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48891142161125145
2021-09-13,3442.6768856284816,29.86068906114396,36.364618540141265,26.828036555977338,0.05114814567025536,0.063013869452387,670.8571277031947,0.9842240896902029,80.63616057268638,11943.454254511995,14400.076709346224,53.19487711202357,0.010000000000000054,62984.36058415481,67563.86549111272,0.8929813139733196,85.27127118028787,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4890645185893916
2021-09-14,3471.0002951198794,28.32340949139776,34.1878195935352,26.8713506231886,0.043322324508024444,0.059423298016892126,676.3763734115275,0.9647732708875629,81.82186590462803,11820.377908078583,13861.562574026491,53.97312422057238,0.010000000000000054,61479.34378976454,66067.66689467593,0.8652458432692604,84.39513211824769,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4891793413229968
2021-09-15,3497.804568463379,26.80427334349987,32.123339808273606,26.90642182324152,0.03507739302549152,0.05448150066199042,681.5996447968496,0.949767251161795,82.98019839421129,11810.299101173154,13473.478378483685,54.72063162696783,0.010000000000000054,60058.82878608561,64564.066315157,0.8364809241455468,83.62221786696642,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4892654583732007
2021-09-16,3523.1268264768214,25.322258013442642,30.20893779091758,26.933339315071773,0.02692213655968102,0.04844709834717159,686.5341794605988,0.9389280563416125,84.1131723897116,11883.566089508411,13216.481618381204,55.437806622617686,0.010000000000000054,58743.854071787944,63079.34309448031,0.8070252050677907,82.96672480940398,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4893300461608535
2021-09-17,3547.0486428052614,23.92181632844012,28.467202858378908,26.952735578740842,0.020191602419760764,0.041672427832776915,691.195875060867,0.9319733531805804,85.22255204600069,12003.454646855522,13067.244681788505,56.12508993787478,0.010000000000000054,57519.892202192685,61633.615158610795,0.777138490096901,82.4355962896646,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.48937848700159314
2021-09-18,3569.715150494384,22.666507689122618,26.903321180629717,26.96581218825735,0.015143701814820573,0.034580112729786325,695.6130114992712,0.9286102669862768,86.3095977772285,12146.68281125672,13000.025156460983,56.78266393045853,0.010000000000000054,56361.504623525645,60241.611417439104,0.7470141778506341,82.02786657730027,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.4894148176321479
2021-09-19,3591.349371920567,21.63422142618265,25.50340038773476,26.974359141193048,0.01135777636111543,0.027645491787158756,699.829042561106,0.9285898915777826,87.37484684617296,12298.9192372941,12989.77841808913,57.41028527816072,0.010000000000000054,55231.64876499401,58911.40145254289,0.7167963476736907,81.73416884053833,37.90000000000019,8.080000000000041,2.6100000000000136,5185289.000000026,0.0,0.0,0.489442065605064
