date,total_cases,new_cases,total_deaths,new_deaths,new_tests_smoothed,total_boosters_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,diabetes_prevalence,life_expectancy,population
2020-04-06,0.0,0.0,0.0,0.0,2165.864573732284,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,62.75129377728789,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-07,0.0,0.0,0.0,0.0,2171.3973960393582,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,63.4402082127333,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-08,0.0,0.0,0.0,0.0,2176.866017294551,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.03935169930443,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-09,0.0,0.0,0.0,0.0,2182.1501917039477,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.54737608863485,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-10,0.0,0.0,0.0,0.0,2187.1269294922495,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,64.96753255128553,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-11,0.0,0.0,0.0,0.0,2191.684434352545,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.30876641411065,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-12,0.0,0.0,0.0,0.0,2195.7325565336428,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.58653828828184,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-13,0.0,0.0,0.0,0.0,2199.2106326555677,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.8234399153065,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-14,0.0,0.0,0.0,0.0,2202.0933655711874,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.0221862713216,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-15,0.0,0.0,0.0,0.0,2204.395234262427,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.18503821674275,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-16,0.0,0.0,0.0,0.0,2206.173801262434,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.31436528182024,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
