date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-05-01,12054538.422388071,6652.938655440141,5968.034822670158,253669.16324638957,30.144830389468193,31.51837907080653,20.5469854201231,1.4854694368999215,929140.2429502954,862403.3343868377,0.035336797744381886,1426736614.0000074
2022-05-02,12061380.532515053,6842.110326421744,6179.635846640637,253698.91658476018,29.753338370640293,31.027686856433963,20.60774132753579,1.4964155876943357,940120.3018636602,885035.3577713836,0.03477005144338665,1426736614.0000074
2022-05-03,12068418.601503309,7038.069137835064,6395.756208186693,253728.33973333455,29.423148574360347,30.575791806837472,20.66846921478568,1.5071458859873021,944518.0745069901,904030.0346342921,0.034216355647827684,1426736614.0000074
2022-05-04,12075666.067465572,7247.466074449353,6614.534371556965,253757.65505856625,29.315325231675278,30.194835128560594,20.728395705530144,1.5175331378259667,941746.1025350597,918451.2863021587,0.03366598360723474,1426736614.0000074
2022-05-05,12083135.336717488,7469.269336056806,6833.912790303158,253787.17324285844,29.518184292211576,29.925527445321585,20.786748783026113,1.5274641714043833,932547.8572826793,927663.3858804666,0.03310840819669953,1426736614.0000074
2022-05-06,12090832.0216881,7696.685033716824,7051.844334000812,253817.238723353,30.065480494530412,29.80891077468289,20.84283227246677,1.5368739850497344,918739.0075386105,931416.3753185606,0.03253250201048526,1426736614.0000074
2022-05-07,12098750.61935271,7918.597711939214,7266.447108289889,253848.18877102187,30.950047668893976,29.880180010553257,20.89606958250137,1.5457235236935731,902594.8010321102,929916.474523828,0.03192668743223374,1426736614.0000074
2022-05-08,12106871.270057535,8120.6507403215855,7476.120569905211,253880.32279998623,32.13402896434022,30.164049035064306,20.946025522364096,1.5540203415419986,886624.098592442,923842.5849006292,0.03129165422963753,1426736614.0000074
2022-05-09,12115166.129999533,8294.859968621939,7683.656507907264,253913.91842513546,33.595625149240995,30.712682865503186,20.99264002089398,1.561761054475829,873537.5600949468,914330.5939437343,0.03063890873945508,1426736614.0000074
2022-05-10,12123633.331355516,8467.201375949337,7887.818485649271,253949.13773611118,35.219310975699386,31.540487423852714,21.03667975710555,1.569021663513629,866655.5485779985,903207.2017926436,0.029966091703266206,1426736614.0000074
2022-05-11,12132261.541939408,8628.2105988657,8085.067875549183,253986.02650828927,36.888772178122366,32.622245819990425,21.079143463595194,1.5759412637955341,867932.1805511471,892662.1844084788,0.02926206069729455,1426736614.0000074
2022-05-12,12141030.977382174,8769.435453997381,8270.805998614065,254024.51613202534,38.4896237360482,33.90378358929797,21.119884908620797,1.5825509704710872,878716.484863911,884971.8214349963,0.028509085923746645,1426736614.0000074
2022-05-13,12149914.16026677,8883.182893019057,8440.30572908338,254064.42505958822,39.908927562863624,35.30996762086817,21.15871038476233,1.5888598988294005,898398.0167022333,882065.8065093448,0.02769500125599683,1426736614.0000074
