date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,female_smokers,male_smokers,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2022-05-01,80297021.0062624,49269.25447377072,44723.45911398894,986979.3590392964,346.1056596028986,364.070369103161,33.801599029170646,1.2385603805237655,1579.6847921604008,12663.373647644323,781097.05521809,750427.2148519964,0.06520950156037456,15.87979172056109,77.47521553711849,388534.5622573745,403824.4021662574,0.013447209621947443,28.121111477935422,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.254762619419125,1.4613148805869858
2022-05-02,80347512.59828126,50491.59201887045,46104.84857078589,987324.9819329967,345.6228937002352,358.0194694582697,33.88649759120576,1.241138611184681,1596.435329737627,12916.309550536105,789704.3416721337,760550.8865753268,0.06691520632542,15.459481799470613,77.4890302695164,383448.4392108077,398685.147584616,0.012810358735529765,28.06580128783105,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.237125940000695,1.505698045194143
2022-05-03,80399305.17933485,51792.581053584065,47524.4055898542,987670.8190935756,345.8371605789907,353.321339811867,33.970214499157436,1.2435486901273618,1613.8915263917809,13175.90488429835,797083.3318197122,770260.8706360857,0.06867880939823447,15.042777154386432,77.5027078992932,378811.6510306014,393660.9602359738,0.012229940997348695,28.018197604528787,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.219829056533463,1.5559362913062662
2022-05-04,80452618.99006039,53313.81072554689,48990.19786659887,988017.0999859879,346.2808924122654,349.95799354668355,34.052879038556874,1.2458987509504036,1631.8664793122607,13442.78194376677,803048.1993172739,779277.9933616808,0.07050926865177874,14.63149139843367,77.51627397553659,374665.84095556306,388788.1020774334,0.011718835838509273,27.974008901522033,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.202852215338524,1.6135172752716498
2022-05-05,80507717.22071283,55098.23065243433,50512.68084451937,988363.7160043598,346.61601837190153,347.8044200145703,34.13459593050141,1.2482606824758942,1650.479804539143,13718.41457676498,807730.9700438713,787402.9858745261,0.07240764638217612,14.227660242425788,77.52975250815547,370979.8783734278,384113.4755238157,0.011285894816826377,27.928276553323204,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.186173813826382,1.6798758516118033
2022-05-06,80564832.03151727,57114.81080445188,52101.88921710001,988710.3175947387,346.6015903787973,346.64137480407624,34.215464077805,1.2506749882628694,1670.0517086079794,14004.888615185262,811404.5080758911,794530.647599173,0.07438120343563026,13.833673430041724,77.5431569796946,367653.8227587397,379678.6455730498,0.010935332554119473,27.875453051708668,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.16977201703247,1.7562071934461347
2022-05-07,80624109.06793347,59277.03641620261,53765.3305542278,989056.3870971543,346.0695024156434,346.16497244113134,34.295535841159236,1.2531235650497718,1690.9099676227613,14304.057104569318,814495.7363090203,800652.1346004799,0.07641712429617983,13.452084419654774,77.55650719824875,364599.091535765,375527.66312290356,0.010666269939183673,27.81402272349389,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.153626431741962,1.8433340203808763
2022-05-08,80685565.84710407,61456.77917058773,55506.40552200578,989401.2933771657,344.90628001147445,345.9938809145594,34.374889922239866,1.2554790668060767,1713.4206786905706,14617.937560165858,817551.4245653152,805859.9027279951,0.07849852518722872,13.084682254624743,77.56981721187348,361872.2994048947,371718.77046758216,0.01047239153001802,27.743420565568094,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.137719823806492,1.9416144069961907
2022-05-09,80748721.67752273,63155.830418664875,57315.582400554194,989745.0386818737,343.7453047080246,345.72585622567436,34.45363285861595,1.257544335657242,1737.875706173716,14947.428719574966,821075.9928098958,810341.5652651312,0.080603855105677,12.732202705836059,77.58308575958395,359541.9608174078,368303.5589431241,0.010341688605496722,27.664004984615666,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.12203986785489,2.050880026781914
2022-05-10,80813688.04219194,64966.364669202376,59197.55140093286,990087.3083423699,342.26966049611264,345.21636582795054,34.53189691286957,1.259122537457219,1764.515700121563,15292.021555841558,825347.8921187352,814379.3540878282,0.08271905163953583,12.39489378761882,77.59631221884774,357726.9831372968,365291.46148271527,0.010256266454122556,27.577037351907165,15.410000000000078,38.300000000000196,19.1000000000001,24.60000000000013,78.86000000000041,338289856.0000018,16.106582722019642,2.1707555659971107
