date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,weekly_hosp_admissions,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2022-06-21,27059627.680270296,58480.01564793891,52265.11964113324,143586.52707001916,55.37436386157535,48.423169568631764,321808.0678490928,68.04867222912549,1.2922642207726807,717.6186647791062,5115.753952113367,88213.62371850075,0.4143507862800812,2.438711919615287,218.9568112589866,77.63875346785716,31474.663067476064,29752.0687716661,3.091873066440432e-13,14.560000004266096,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.19558580140643,8.549353818035486
2022-06-22,27120337.57654083,60709.89627053734,54350.72742380412,143644.45228376862,57.92521374944598,50.7301384886911,322530.06224687176,68.08372621450744,1.292066459050747,732.5876572785776,5312.021281796734,88282.7660758828,0.4158971048545808,2.428140505414673,218.9953791294374,77.64004813256719,32071.992064666563,30296.92730596358,2.318904799830324e-13,14.560000003199592,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.201209736131935,8.971241931076726
2022-06-23,27183492.381613806,63154.80507297421,56524.82817273359,143705.1370796657,60.68479589708781,53.16196488785002,323281.133274036,68.11946111207654,1.290395998134216,748.682759765657,5510.214652362427,88333.2839783731,0.41701944421024084,2.420461275265644,219.03461175496457,77.6413618912807,32654.477257937593,30871.322871198652,1.739178599872743e-13,14.560000002399715,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.2070042408744674,9.346749737161563
2022-06-24,27249234.245583374,65741.86396956592,58770.668331715766,143768.6967173125,63.55963764679786,55.68735003951397,324062.9714594059,68.15585068215059,1.2874204633711872,765.823414362059,5709.037476020375,88369.55037873794,0.4178159036858925,2.4150038195944945,219.0744740069154,77.64269077851235,33212.66700938731,31457.069060315647,1.3043839499045573e-13,14.560000001799805,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.212901162925688,9.663291386812455
2022-06-25,27317577.651576065,68343.40599268845,61066.0292688257,143835.09732790053,66.40061058803968,58.26799927818114,324875.7490111677,68.1928742753493,1.2832096590991742,783.8459382763936,5907.135476116777,88395.49261598635,0.418378134247013,2.4111448214785876,219.11494180124376,77.64402293197745,33741.83162420278,32039.974516633032,9.782879624284179e-14,14.560000001349874,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.2188252627197125,9.910156438345574
2022-06-26,27388368.324089326,70790.67251326241,63383.66236564652,143904.1141723962,69.01684449565172,60.859701947323735,325717.6311294169,68.23048214477967,1.2777828099352422,802.5264058727779,6103.169577352622,88414.36946198987,0.4187836006852603,2.408358616108944,219.15595344207728,77.64535268702457,34227.378970252976,32607.541957287365,7.337159718213135e-14,14.560000001012424,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.224698294163256,10.07937169204297
2022-06-27,27461182.926211834,72814.60212250348,65719.32139301328,143975.12890660827,71.01473421207504,63.426099343492254,326583.58317964233,68.26857104620605,1.271147547011873,821.6058418965044,6295.394959355781,88428.52709649253,0.41908770051394584,2.4062689620817115,219.19743566979355,77.64667902722717,34644.251228336194,33146.79106718988,5.5028697886598513e-14,14.560000000759338,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.230444373498983,10.166524405748468
2022-06-28,27536051.011384834,74868.08517300247,68060.47424062302,144048.15802449422,73.02911788594714,65.94834583922886,327473.95661129977,68.30702686254733,1.2633348037624617,840.8859101877318,6482.200938327447,88439.14532236953,0.41931577538546,2.404701721561287,219.2393000878335,77.6480044223274,34965.220935796475,33645.4425893388,4.1271523414948883e-14,14.564348740065324,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.235981908806485,10.168010928284032
2022-06-29,27612993.080904536,76942.06951970026,70379.35617852813,144123.28435547493,75.12633098071774,68.40570087909855,328388.9951989407,68.34570825292224,1.2543585688851964,860.285408723541,6661.92486340946,88447.10899177726,0.4194868315390956,2.4035262911709685,219.28141688875843,77.64933395669395,35166.18586991463,34087.46949856523,3.095364256121166e-14,14.572683823956575,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.241228605397463,10.081775510831193
2022-06-30,27691980.166124463,78987.08521993046,72641.11052174366,144200.58488910156,77.30053362661792,70.77935112797302,329328.3543785208,68.38447123494063,1.244266017808049,879.6880869240404,6831.640948785289,88453.08174383306,0.4196151236543223,2.40264471837823,219.3236434681205,77.65067467566537,35243.80919881612,34457.37251823554,2.3215231920908747e-14,14.581667037327504,46.600000000000236,45229.240000000245,8.310000000000043,8.00000000000004,83369840.00000045,4.246113530878835,9.909308823999758
