date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-08-26,77808.02107839764,614.0436741477198,615.3342149805981,504.5972108733812,2.4927849124938044,2.7293589459340595,585835.574125634,3.210000000000017,1.0141387807060793,3900.7704649111474,0.1541637609759467,6.478000363010662,1121.000000000006,0.21000000000000116,74.0752111174846,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-27,78421.25769632257,613.2366179249472,615.613383924525,507.00619839420915,2.408987520828016,2.6501396037621188,589729.15578815,3.210000000000017,1.0152724759626572,3893.5816625165917,0.153933098689297,6.482538733796467,1121.000000000006,0.21000000000000116,74.07390833811355,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-28,79034.5086245368,613.2509282142348,615.4120303480488,509.33376967477847,2.327571280569302,2.5695725438041395,593620.315257403,3.210000000000017,1.016502191490417,3891.1594692533185,0.1539645298993259,6.476820016733914,1121.000000000006,0.21000000000000116,74.07293125358527,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-29,79648.75139406529,614.2427695284856,615.0194896324014,511.58704348103606,2.253273806257619,2.4897458267283503,597516.3558031048,3.210000000000017,1.0177919635919577,3896.0405457021147,0.15427769606702857,6.460685471503256,1121.000000000006,0.21000000000000116,74.07219844018906,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-30,80265.04058174818,616.2891876828874,614.7713072695508,513.7786310270674,2.1915875460312906,2.4128161573765823,601424.8164160011,3.210000000000017,1.0190999520087725,3908.4606128965006,0.15485743171413718,6.434814362192416,1121.000000000006,0.21000000000000116,74.0716488301419,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-08-31,80883.21191659567,618.1713348474929,614.9479872394943,515.9234205876897,2.144789560622372,2.3398382007732286,605356.5118756733,3.210000000000017,1.0203600318798838,3931.695459672381,0.15564824508489206,6.40106713880657,1121.000000000006,0.21000000000000116,74.07123662260652,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-01,81503.84277713658,620.6308605409212,615.6937895569648,518.0246274963595,2.101206908669755,2.271894810890202,609322.4435706214,3.210000000000017,1.0215053180275613,3965.931694948215,0.15656116765335898,6.362644245507651,1121.000000000006,0.21000000000000116,74.07092746695498,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-02,82128.12201497925,624.2792378426666,617.1560592006915,520.0880569183272,2.0634294219677356,2.2103540428800006,613331.4559811344,3.210000000000017,1.0224874242026376,4009.0124105130417,0.15752721058164842,6.32239850410489,1121.000000000006,0.21000000000000116,74.07069560021634,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-03,82757.46114601154,629.3391310322918,619.4564749111853,522.1214563926892,2.0333994743620356,2.156519895443778,617387.4126872092,3.210000000000017,1.0232442042217922,4055.9567060748323,0.15851547904160176,6.281997649895095,1121.000000000006,0.21000000000000116,74.07052170016236,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-04,83393.20274380095,635.7415977894104,622.6694857890783,524.1340302389261,2.0125738462369465,2.1113703676074,621491.1680803723,3.210000000000017,1.0237128881372568,4103.755393163112,0.15947694541565532,6.243390609754878,1121.000000000006,0.21000000000000116,74.07039127512186,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-05,84036.40173464463,643.1989908436748,626.8061387438781,526.1360753618068,2.002045122880686,2.0753610013034844,625642.515378315,3.210000000000017,1.0238525394061115,4151.347297942799,0.16037693983097248,6.2078936360491985,1121.000000000006,0.21000000000000116,74.0702934563415,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-06,84687.6613688569,651.2596342122657,631.801949080534,528.1387081050661,2.002632743259418,2.048277538307933,629844.2473934656,3.210000000000017,1.0236377885235572,4201.732015150706,0.1611838037743285,6.1764228126865515,1121.000000000006,0.21000000000000116,74.07022009225622,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-07,85346.88540931894,659.2240404620445,637.6666269687723,530.1397938454454,2.0010857403792786,2.0276758331103966,634098.2885509178,3.210000000000017,1.023043144236884,4254.04115745224,0.1618608651125824,6.149615105636447,1121.000000000006,0.21000000000000116,74.07016506919227,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-08,86014.63018497899,667.7447756600444,644.3971607566384,532.14526232009,2.0054684746445135,2.013945304050641,638404.1299232086,3.210000000000017,1.0220559522306703,4305.841372290867,0.16239774967477316,6.12799833633788,1121.000000000006,0.21000000000000116,74.0701238018943,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-09,86691.1631364719,676.5329514929334,651.8619179171889,534.1686106056145,2.023348285524435,2.0081916865059863,642760.1790034934,3.210000000000017,1.0206735090986667,4356.049080284737,0.1627745565999715,6.111827776170677,1121.000000000006,0.21000000000000116,74.07009285142082,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-10,87376.36050684663,685.1973703747108,659.8415736996897,536.2267488397966,2.058138234182114,2.0117331313953297,647162.1602222396,3.210000000000017,1.0188871615589723,4401.981218746203,0.16298492520692778,6.101897658243077,1121.000000000006,0.21000000000000116,74.07006963856571,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-11,88069.6306096115,693.2701027648737,668.0598076180132,538.3368845128476,2.110135673050939,2.025722279057166,651603.9728816127,3.210000000000017,1.0167044791201034,4441.812659373169,0.1630050158185768,6.0992933147876816,1121.000000000006,0.21000000000000116,74.07005222892438,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-12,88769.85627976854,700.2256701570435,676.2063258169369,540.5141856858647,2.1773011730170375,2.0508628146581005,656078.1904401374,3.210000000000017,1.0141516625074998,4474.217558524711,0.16279335462411382,6.105851692619535,1121.000000000006,0.21000000000000116,74.07003917169338,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-13,89475.35171208899,705.4954323204339,683.9541278468665,542.7700284046708,2.2558427188060914,2.0871968847492344,660576.6347822695,3.210000000000017,1.011273733952378,4498.444342132066,0.16231269534752968,6.123609842509262,1121.000000000006,0.21000000000000116,74.07002937877013,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-14,90185.21412343338,709.8624113443989,691.1879903583248,545.1132032685975,2.3431748639268086,2.1362901974985804,665091.6752625272,3.210000000000017,1.0081330638773425,4515.0404802577505,0.16154479946798428,6.153736793646662,1121.000000000006,0.21000000000000116,74.0700220340777,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-15,90898.84162037089,713.627496937518,697.7424562464433,547.5510950823475,2.4378918137498937,2.1983543643488903,669614.8605677756,3.210000000000017,1.0048192549215829,4523.185305248264,0.16050103657577836,6.195879518311928,1121.000000000006,0.21000000000000116,74.07001652555837,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-16,91614.78286362995,715.9412432590541,703.3719968390028,550.0847983641208,2.5337032817733163,2.271616128788497,674136.3241588643,3.210000000000017,1.001406619601014,4521.463591088757,0.15924293968134917,6.248512741513529,1121.000000000006,0.21000000000000116,74.07001239416888,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
2020-09-17,92331.11087105807,716.3280074281312,707.8190242937651,552.7092354893164,2.6244371251955374,2.3529283215428958,678646.3817907717,3.210000000000017,0.9979563868080663,4510.057631907395,0.15779985181983563,6.309943056458362,1121.000000000006,0.21000000000000116,74.07000929562676,33.70000000000018,132.2400000000007,2.700000000000015,37.000000000000185,2.00000000000001,4268886.000000022
