date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,life_expectancy,population
2020-08-15,11.999999999998664,5.88530768978406e-13,0.0,0.0,23391.80999999739,75.12000000000039,808.0000000000043
2020-08-16,11.999999999999016,4.413980767338045e-13,0.0,0.0,23391.809999998073,75.12000000000039,808.0000000000043
2020-08-17,11.999999999999279,3.310485575503534e-13,0.0,0.0,23391.809999998586,75.12000000000039,808.0000000000043
2020-08-18,11.999999999999478,2.48286418162765e-13,0.0,0.0,23391.80999999897,75.12000000000039,808.0000000000043
2020-08-19,11.999999999999627,1.8621481362207375e-13,0.0,0.0,23391.80999999926,75.12000000000039,808.0000000000043
2020-08-20,11.999999999999737,1.3966111021655532e-13,0.0,0.0,23391.809999999477,75.12000000000039,808.0000000000043
2020-08-21,11.999999999999819,1.0474583266241649e-13,0.0,0.0,23391.80999999964,75.12000000000039,808.0000000000043
2020-08-22,11.999999999999883,7.855937449681236e-14,0.0,0.0,23391.80999999976,75.12000000000039,808.0000000000043
2020-08-23,11.999999999999929,5.891953087260927e-14,0.0,0.0,23391.809999999852,75.12000000000039,808.0000000000043
2020-08-24,11.999999999999964,4.418964815445695e-14,0.0,0.0,23391.80999999992,75.12000000000039,808.0000000000043
2020-08-25,11.99999999999999,3.3142236115842715e-14,0.0,0.0,23391.809999999972,75.12000000000039,808.0000000000043
2020-08-26,12.00000000000001,2.4856677086882035e-14,0.0,0.0,23391.810000000012,75.12000000000039,808.0000000000043
2020-08-27,12.000000000000025,1.8642507815161528e-14,0.0,0.0,23391.81000000004,75.12000000000039,808.0000000000043
2020-08-28,12.000000000000036,1.3981880861371146e-14,0.0,0.0,23391.810000000063,75.12000000000039,808.0000000000043
2020-08-29,12.000000000000043,1.0486410646028359e-14,0.0,0.0,23391.81000000008,75.12000000000039,808.0000000000043
2020-08-30,12.00000000000005,7.864807984521269e-15,0.0,0.0,23391.810000000092,75.12000000000039,808.0000000000043
2020-08-31,12.000000000000053,5.8986059883909515e-15,0.0,0.0,23391.810000000103,75.12000000000039,808.0000000000043
2020-09-01,12.000000000000057,4.423954491293214e-15,0.0,0.0,23391.81000000011,75.12000000000039,808.0000000000043
2020-09-02,12.00000000000006,3.3179658684699105e-15,0.0,0.0,23391.810000000114,75.12000000000039,808.0000000000043
2020-09-03,12.000000000000064,2.488474401352433e-15,0.0,0.0,23391.810000000118,75.12000000000039,808.0000000000043
2020-09-04,12.000000000000064,1.8663558010143246e-15,0.0,0.0,23391.81000000012,75.12000000000039,808.0000000000043
2020-09-05,12.000000000000064,1.3997668507607436e-15,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-06,12.000000000000064,1.0498251380705577e-15,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-07,12.000000000000064,7.873688535529183e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-08,12.000000000000064,5.905266401646887e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-09,12.000000000000064,4.428949801235165e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-10,12.000000000000064,3.3217123509263737e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-11,12.000000000000064,2.4912842631947804e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-12,12.000000000000064,1.8684631973960854e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-13,12.000000000000064,1.401347398047064e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-14,12.000000000000064,1.051010548535298e-16,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-15,12.000000000000064,7.882579114014734e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-16,12.000000000000064,5.911934335511051e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-17,12.000000000000064,4.4339507516332883e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-18,12.000000000000064,3.325463063724966e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-19,12.000000000000064,2.494097297793725e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-20,12.000000000000064,1.8705729733452936e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-21,12.000000000000064,1.40292973000897e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-22,12.000000000000064,1.0521972975067277e-17,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-23,12.000000000000064,7.891479731300458e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-24,12.000000000000064,5.918609798475344e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-25,12.000000000000064,4.438957348856508e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-26,12.000000000000064,3.329218011642381e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-27,12.000000000000064,2.4969135087317855e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-28,12.000000000000064,1.872685131548839e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-29,12.000000000000064,1.4045138486616293e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-09-30,12.000000000000064,1.0533853864962219e-18,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-10-01,12.000000000000064,7.900390398721664e-19,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-10-02,12.000000000000064,5.925292799041248e-19,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-10-03,12.000000000000064,4.443969599280936e-19,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-10-04,12.000000000000064,3.332977199460702e-19,0.0,0.0,23391.810000000125,75.12000000000039,808.0000000000043
2020-10-05,11.982352941176535,2.4997328995955264e-19,0.0,0.0,23357.41027310937,75.12000000000039,808.0000000000043
2020-10-06,11.94852941176477,1.8747996746966447e-19,0.0,0.0,23291.47746323542,75.12000000000039,808.0000000000043
2020-10-07,11.912075791855269,1.4060997560224835e-19,0.0,0.0,23220.41777098833,75.12000000000039,808.0000000000043
2020-10-08,11.893332861991015,0.008597285067873309,0.0,0.0,23183.881843108764,75.12000000000039,808.0000000000043
2020-10-09,11.91547475961545,0.042647058823529586,0.0,0.0,23227.043439539102,75.12000000000039,808.0000000000043
2020-10-10,12.001538196408436,0.10144230769230819,0.0,0.0,23394.808433726757,75.12000000000039,808.0000000000043
2020-10-11,12.172194371288246,0.18219032805429958,0.0,0.0,23727.471562851664,75.12000000000039,808.0000000000043
2020-10-12,12.444077905163036,0.28053414875565763,0.0,0.0,24257.458990496896,75.12000000000039,808.0000000000043
2020-10-13,12.828533541994469,0.3909435979920836,0.0,0.0,25006.885228651634,75.12000000000039,808.0000000000043
2020-10-14,13.330676174595421,0.5070086034714395,0.0,0.0,25985.720829213395,75.12000000000039,808.0000000000043
