date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,extreme_poverty,female_smokers,population
2020-09-16,140677.14758784987,2699.325852531246,2578.144757372012,1647.6739303279246,28.536873471819785,26.7017653471124,0.010000000000000054,1.1401213207152756,24117.076938782946,23604.966567201704,0.1163788438016695,8.675791562521063,0.0,1179.0000000000061,1179.0000000000061,0.0,64.34182669627319,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-17,143415.18908455278,2738.0414967028983,2621.045475915244,1677.3548821350862,29.680951807161584,27.234853583702147,0.010000000000000054,1.1400783854944416,24359.875787474444,23843.69905274456,0.11720543214019863,8.617456147650344,0.0,1179.0000000000061,1179.0000000000061,0.0,64.3590275852302,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-18,146192.14646758416,2776.9573830313793,2661.967569767723,1708.3462197784343,30.991337643347965,27.980388410142524,0.010000000000000054,1.1400314781964629,24563.575231038965,24062.669651549404,0.11810672439603473,8.552597605243264,0.0,1179.0000000000061,1179.0000000000061,0.0,64.37632304832803,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-19,149006.45999613113,2814.313528546971,2700.831089898518,1740.739464445981,32.39324466754658,28.910904106572676,0.010000000000000054,1.1399883791709429,24726.659461417592,24261.043253529577,0.11906792306431774,8.481791448922763,0.0,1179.0000000000061,1179.0000000000061,0.0,64.3858864362138,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-20,151854.26965773205,2847.8096616009243,2737.710560636562,1774.5272227688774,33.78775832289658,29.980365862734985,0.010000000000000054,1.1399621958197084,24858.49808669025,24440.302915260338,0.12007340512952483,8.406298337823305,0.0,1179.0000000000061,1179.0000000000061,0.0,64.37870862160128,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-21,154721.3133131118,2867.0436553797535,2772.1892006972057,1809.6455948400737,35.118372071196404,31.15772122963047,0.010000000000000054,1.1399684148027271,24966.740517183207,24599.625909780774,0.12111420058276112,8.326777728803819,0.0,1179.0000000000061,1179.0000000000061,0.0,64.3457905159748,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-22,157607.75140370935,2886.4380905975213,2804.273165875203,1846.1411450634776,36.495550223403825,32.42803074122743,0.010000000000000054,1.1400226911925446,25051.991134493775,24739.131730331737,0.12220459032071679,8.243706438167193,0.0,1179.0000000000061,1179.0000000000061,0.0,64.27903745711694,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-23,160518.55251529033,2910.8011115809827,2834.483840954564,1883.9719544666477,37.83080940317025,33.75550269392968,0.010000000000000054,1.1401391903401115,25106.797762635073,24858.517010418524,0.12335722425314281,8.156863539032646,0.0,1179.0000000000061,1179.0000000000061,0.0,64.17192999975441,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-24,163460.91868511052,2942.366169820195,2863.6729788090106,1923.0147124563237,39.04275798967574,35.092676794202966,0.010000000000000054,1.1403293442741544,25114.313157141172,24950.03854966913,0.12463750448591417,8.063187408637779,0.0,1179.0000000000061,1179.0000000000061,0.0,64.02002700854246,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-25,166442.3543822882,2981.435697177691,2892.884054727318,1963.0700356350706,40.055323178746846,36.38731189429481,0.010000000000000054,1.1406009190007047,25084.420565981316,25012.41470733915,0.12610821886217338,7.96177808071881,0.0,1179.0000000000061,1179.0000000000061,0.0,63.821342977803184,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-26,169469.21824308357,3026.863860795361,2923.248282157322,2003.8664569137654,40.79642127869497,37.587551794024336,0.010000000000000054,1.1409573149777439,25031.820127136314,25046.098021454625,0.12782534643493015,7.851921795833237,0.0,1179.0000000000061,1179.0000000000061,0.0,63.576631021329206,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-27,172545.63687235818,3076.4186292746117,2955.906624513924,2045.0634173459607,41.196960432195176,38.645799592124646,0.010000000000000054,1.1413970424711892,24942.132176800234,25048.127766252604,0.12983539638081965,7.732181489085669,0.0,1179.0000000000061,1179.0000000000061,0.0,63.289595114736485,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-28,175656.91498458566,3111.2781122274564,2990.7972242031587,2086.0467873145803,40.98336996861961,39.48344277748075,0.010000000000000054,1.141913328071881,24841.48704468812,25027.435918419287,0.13213769789970672,7.603274772276446,0.0,1179.0000000000061,1179.0000000000061,0.0,62.967049277228924,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-29,178807.6938337853,3150.7788491996853,3028.5602051594838,2126.7098480812842,40.663060766703936,40.07858386074475,0.010000000000000054,1.142493819583324,24771.00970820908,24996.369779797045,0.13470508337953135,7.466924404999199,0.0,1179.0000000000061,1179.0000000000061,0.0,62.61903695792178,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-09-30,182011.09778322547,3203.4039494401695,3070.3606813421447,2167.1299620144246,40.420113933140485,40.448266919475884,0.010000000000000054,1.1431203646874946,24805.29000578516,24968.52853071078,0.13749940076994283,7.325375915255551,0.0,1179.0000000000061,1179.0000000000061,0.0,62.251924777264946,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-01,185283.60431673418,3272.5065335087033,3117.5237147881257,2207.5038063524507,40.373844338026075,40.63821053220555,0.010000000000000054,1.1437814499862107,24939.287947131408,24952.93655640416,0.14049623771385034,7.180274664302048,0.0,1179.0000000000061,1179.0000000000061,0.0,61.869321734209294,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-02,188641.19654718245,3357.5922304482747,3171.260534151862,2248.0987985264615,40.59499217401088,40.715107478986155,0.010000000000000054,1.1444705412711722,25210.341800684728,24966.29294736133,0.14361943103264072,7.034569282001594,0.0,1179.0000000000061,1179.0000000000061,0.0,61.478867512680324,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-03,192096.4775978467,3455.281050664266,3232.463198610023,2289.2166651521215,41.11786662566013,40.7608495168027,0.010000000000000054,1.145173849715501,25663.359824980296,25026.607768051734,0.14677711367525645,6.892488047474055,0.0,1179.0000000000061,1179.0000000000061,0.0,61.09032791311407,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-04,195656.5063884306,3560.0287905838545,3301.5505957901014,2331.1661187735967,41.94945362147528,40.8681959611315,0.010000000000000054,1.1458737615594132,26326.193656711992,25148.176866762817,0.14986353984597067,6.757499519768446,0.0,1179.0000000000061,1179.0000000000061,0.0,60.714166426109074,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-05,199310.72741575763,3654.2210273270366,3379.114108284081,2374.082281387893,42.91616261429657,41.14418058429406,0.010000000000000054,1.1465514103744743,27190.331021460992,25331.024537596386,0.15284610349469155,6.630503437499259,0.0,1179.0000000000061,1179.0000000000061,0.0,60.36047291266527,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-06,203066.6153420383,3755.8879262806745,3465.558503643577,2418.1261421980016,44.0438608101084,41.62705140460716,0.010000000000000054,1.147188606261788,28226.042927806626,25567.757850514714,0.155723944136856,6.511268011220769,0.0,1179.0000000000061,1179.0000000000061,0.0,60.03816011436329,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-07,206934.1089855206,3867.493643482328,3560.4286980300376,2463.4915685101723,45.36542631217089,42.33345904472886,0.010000000000000054,1.1477692827506412,29403.823016798775,25847.13579254024,0.15851273832242246,6.398900265041313,0.0,1179.0000000000061,1179.0000000000061,0.0,59.7543610359988,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-08,210921.63345213362,3987.5244666130448,3662.57434575912,2510.3500597051925,46.85849119502029,43.25981438697269,0.010000000000000054,1.1482805819724848,30694.36018438323,26164.62802410787,0.16117350008958697,6.294003899492046,0.0,1179.0000000000061,1179.0000000000061,0.0,59.51397698255833,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
2020-10-09,215033.11673422012,4111.483282086487,3770.273281458971,2558.8093127168427,48.459253011649906,44.38330681479326,0.010000000000000054,1.1487136685414208,32057.309079248473,26507.29398188185,0.16370365447895519,6.196228522550523,0.0,1179.0000000000061,1179.0000000000061,0.0,59.31933858695115,77.39000000000041,41.40000000000022,0.1000000000000005,13.500000000000068,39701744.00000021
